203.121.165.16#6#5#C&C#TH##15.0,100.0#2
46.4.123.15#4#2#Malicious Host#DE##51.0,9.0#3
61.67.129.145#6#5#C&C#TW#Taipei#25.0391998291,121.525001526#2
222.124.202.178#9#5#C&C#ID#Jakarta#-6.17439985275,106.829399109#2
62.209.195.186#6#5#C&C#CZ#Karvina#49.8568000793,18.5468997955#2
210.253.108.243#6#4#C&C#JP##35.6899986267,139.690002441#2
218.6.132.45#3#2#Scanning Host;Malicious Host#CN#Chengdu#30.6667003632,104.066703796#11;3
222.186.31.190#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.31.191#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
61.147.103.29#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
37.9.53.16#6#2#Spamming#RU#Saint Petersburg#59.8944015503,30.2642002106#12
217.119.54.222#6#4#C&C#DE##51.0,9.0#2
199.231.186.170#6#5#C&C#US#Secaucus#40.7801017761,-74.0633010864#2
222.161.4.147#3#2#Scanning Host;Malicious Host#CN#Changchun#43.8800010681,125.322799683#11;3
222.186.31.135#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.31.136#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
199.168.141.76#2#2#Scanning Host#US#Clarks Summit#41.448600769,-75.7279968262#11
46.172.71.29#2#2#Scanning Host#UA##50.4500007629,30.5233001709#11
46.172.71.30#2#2#Scanning Host#UA##50.4500007629,30.5233001709#11
46.172.71.33#2#2#Scanning Host#UA##50.4500007629,30.5233001709#11
46.172.71.34#2#2#Scanning Host#UA##50.4500007629,30.5233001709#11
88.150.161.182#6#2#Spamming#GB##51.5,-0.129999995232#12
46.180.7.231#6#6#C&C;Malware Domain#RU#Kemerovo#55.3333015442,86.0832977295#2;6
58.177.86.10#3#2#Scanning Host#HK#Central District#22.2833003998,114.150001526#11
199.246.2.105#6#5#C&C;Malware IP#CA#Kingston#44.220199585,-76.5848999023#2;7
203.158.166.19#3#2#Scanning Host#TH#Pathum Thani#14.0135002136,100.530502319#11
71.6.165.51#2#2#Scanning Host#US#San Diego#32.8073005676,-117.132400513#11
87.106.142.246#3#2#Scanning Host;Malicious Host#DE##51.0,9.0#11;3
125.206.248.58#3#2#Scanning Host#JP##35.6899986267,139.690002441#11
109.63.72.103#3#2#Scanning Host#BH##26.0,50.5499992371#11
119.147.137.94#4#3#Malicious Host;Scanning Host#CN#Guangzhou#23.1166992188,113.25#3;11
222.186.21.0#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.21.3#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
